times,gctimes,memory,allocs
2.061857077e6,144821.095,1088656,20006
2.007760217e6,159786.519,1088656,20006
2.005534062e6,159278.536,1088656,20006
2.023613534e6,163735.856,1088656,20006
2.014207287e6,161474.528,1088656,20006
2.007024538e6,154878.756,1088656,20006
2.029002673e6,167286.736,1088656,20006
2.013127703e6,161688.737,1088656,20006
2.008146016e6,167113.142,1088656,20006
1.989229602e6,154145.827,1088656,20006
1.998601578e6,160922.437,1088656,20006
1.990354415e6,154058.436,1088656,20006
1.99602409e6,159651.74,1088656,20006
2.00894451e6,165682.125,1088656,20006
1.992958103e6,154614.252,1088656,20006
2.016554981e6,161811.463,1088656,20006
2.02271647e6,165430.786,1088656,20006
1.992263901e6,154230.382,1088656,20006
1.994637951e6,159587.486,1088656,20006
1.993929311e6,157308.558,1088656,20006
1.995550244e6,159793.784,1088656,20006
1.993410707e6,154517.862,1088656,20006
2.009139641e6,164530.344,1088656,20006
1.996469734e6,159849.703,1088656,20006
1.990907709e6,154458.074,1088656,20006
1.995611779e6,159615.763,1088656,20006
2.006052753e6,162792.269,1088656,20006
1.991328742e6,154550.751,1088656,20006
1.989666779e6,154297.444,1088656,20006
1.996105425e6,160196.579,1088656,20006
1.999081553e6,156980.231,1088656,20006
1.995229013e6,159803.167,1088656,20006
2.001007821e6,155237.712,1088656,20006
2.008857141e6,156316.597,1088656,20006
2.01366945e6,161713.436,1088656,20006
2.022244997e6,167725.029,1088656,20006
2.013449084e6,161658.75,1088656,20006
2.009066954e6,156713.406,1088656,20006
2.004834115e6,155930.061,1088656,20006
2.033933539e6,168674.659,1088656,20006
2.012138472e6,155952.192,1088656,20006
2.0086617e6,155990.246,1088656,20006
2.016262396e6,162293.54,1088656,20006
2.00980429e6,155920.573,1088656,20006
2.019392773e6,163552.995,1088656,20006
2.012155625e6,156299.751,1088656,20006
2.008686443e6,156450.803,1088656,20006
2.015673785e6,161784.842,1088656,20006
2.008701032e6,156324.667,1088656,20006
2.016630773e6,162355.457,1088656,20006
